,Title,Authors,Description,Date,Rating
25,Psychology of Emotion,"['Paula M. Niedenthal', 'François Ric']","Since the turn of the twenty-first century, the psychology of emotion has grown to become its own field of study. Because the study of emotion draws inspiration from areas of science outside of psychology, including neuroscience, psychiatry, biology, genetics, computer science, zoology, and behavioral economics, the field is now often called emotion science or affective science. A subfield of affective science is affective neuroscience, the study of the emotional brain. This revised second edition of Psychology of Emotion reviews both theory and methods in emotion science, discussing findings about the brain; the function, expression, and regulation of emotion; similarities and differences due to gender and culture; the relationship between emotion and cognition; and emotion processes in groups. Comprehensive in its scope yet eminently readable, Psychology of Emotion serves as an ideal introduction for undergraduate students to the scientific study of emotion. It features effective learning devices such as bolded key terms, developmental details boxes, learning links, tables, graphs, and illustrations. In addition, a robust companion website offers instructor resources.",2017-04-20,NA
26,Handbook of Health Psychology,"['Tracey A. Revenson', 'Jerome E. Singer']","Considered the most comprehensive handbook in the field, this rich resource reviews the biological, psychological, and social factors that affect health, health behavior, and illness. Many chapters review the latest theories and research while others illustrate how research is translated into clinical and community interventions to improve physical health and emotional well-being. Chapters examine health behavior processes within the social contexts in which we live, including family, social, and cultural communities. The handbook cuts across concepts (behavior change), populations (women's health), risk and protective factors (obesity) and diseases, making it appropriate for a variety of readers from various fields. Featuring contributions from the top researchers and rising stars in the field, each author provides a theoretical foundation, evaluates the empirical evidence, and makes suggestions for future research, clinical practice, and/or policy. Novices to the field appreciate the accessibly written chapters, while seasoned professionals appreciate the book's deep, cutting edge coverage. Significantly updated throughout, the new edition reflects the latest approaches to health psychology today: greater emphasis on translating research into practice and policy more on the socio-cultural aspects of health including socioeconomic status, gender, race/ethnicity, sexual orientation, and aging two new sections on risk and protective factors for disease and another on social and structural influences that affect health more on prevention, interventions, and treatment in the applications section an expansion of the bio-psycho-social model across several levels of analysis, including cultural, macro-social, and cellular factors. The book opens with the field's central theories, emphasizing the interaction of biological and social systems. Part II reviews the mechanisms that help explain the link between health and behavior across diseases and populations. The all new Part III focuses on variables that lead to the onset of major diseases or that are instrumental in promoting health. Part IV, also new to the second edition, highlights social and structural influences on health. The book concludes with applications of research to specific illnesses and medical conditions. The Handbook serves as a text in graduate or upper level undergraduate courses in health psychology taught in psychology, public health, medical sociology, medicine, nursing, and other social and allied health sciences. Its cutting edge, comprehensive coverage also appeals to researchers and practitioners in these fields.",2012,NA
27,AQA A-level Psychology (Year 1 and Year 2),"['Jean-Marc Lawton', 'Eleanor Willard']","Equip your students with the knowledge and skills to study for AQA A-level Psychology with clear, comprehensive coverage, guidance on assessment objectives and updated practice questions that consolidate understanding, develop evaluative skills and ensure progression. This all-in-one textbook covers the Year 1 and Year 2 specifications. - Engage your students through extensive real-life contemporary research, including evaluation points at the end of each research section to develop their analytical skills. - Test knowledge and support exam preparation with updated practice questions, based on past assessments. - Ensure progression and encourage independent thinking with extension suggestions and activities. - Help your students understand the assessment objectives and develop their examination skills with assessment guidance throughout. - Ensure students learn and understand content for all the key topics with the clear, accessible style, written by Jean-Marc Lawton and Eleanor Willard. Please note: The following topics will not be included in the printed book but will be available to download online as part of your purchase: addiction, cognition and development, eating behaviour.",2020-07-27,NA
28,Social Psychology,['Carol Brown'],"SAGE Course Companions are an exciting new series offering students an insider's guide into how to make the most of their undergraduate courses and extend their understanding of key concepts covered in their course. Social Psychology provides student readers with essential help with all aspects of their first course in social psychology, including advice on revising for exams, preparing and writing course assessment materials, and enhancing and progressing their knowledge and skills in line with course requirements on a social psychology course. Designed to augment, rather than replace, existing textbooks for the course, it provides: - Helpful summaries of the course curriculum to aid lecture notes, seminars and written assignments - Key summaries of the approach taken by the main social psychology textbooks - Guidance on the essential study skills required - Help with developing critical thinking - Route-maps to aid the development of wider learning above and beyond textbooks - Pointers to success in course exams - A tutor's-eye view of what course examiners are looking for - An insider's view of what key course concepts are really all about SAGE Course Companions are much more than revision guides for undergraduates; they are an essential tool to taking your course learning and understanding to new levels and in new directions that are the key to success in undergraduate courses.",2006-03-10,NA
29,Handbook of Educational Psychology,"['Lyn Corno', 'Eric M. Anderman']","The third edition of the Handbook of Educational Psychology is sponsored by Division 15 of the American Psychological Association. In this volume, thirty chapters address new developments in theory and research methods while honoring the legacy of the field’s past. A diverse group of recognized scholars within and outside the U.S. provide integrative reviews and critical syntheses of developments in the substantive areas of psychological inquiry in education, functional processes for learning, learner readiness and development, building knowledge and subject matter expertise, and the learning and task environment. New chapters in this edition cover topics such as learning sciences research, latent variable models, data analytics, neuropsychology, relations between emotion, motivation, and volition (EMOVO), scientific literacy, sociocultural perspectives on learning, dialogic instruction, and networked learning. Expanded treatment has been given to relevant individual differences, underlying processes, and new research on subject matter acquisition. The Handbook of Educational Psychology, Third Edition, provides an indispensable reference volume for scholars in education and the learning sciences, broadly conceived, as well as for teacher educators, practicing teachers, policy makers and the academic libraries serving these audiences. It is also appropriate for graduate level courses in educational psychology, human learning and motivation, the learning sciences, and psychological research methods in education and psychology.",2015-07-06,NA
30,Blackwell Handbook of Social Psychology,"['Michael A. Hogg', 'Scott Tindale']","This handbook provides an authoritative, up-to-date overview of the social psychology of group processes. The topics covered include group decisions, juries, group remembering, roles, status, leadership, social identity and group membership, socialization, group performance, negotiation and bargaining, emotion and mood, computer-mediated communication, organizations and mental health. Provides an authoritative, up-to-date overview of the social psychology of group processes. Written by leading researchers from around the world to provide a classic and current overview of research as well as providing a description of future trends within the area. Includes coverage of group decisions, juries, group remembering, roles, status, leadership, social identity and group membership, socialization, group performance, negotiation and bargaining, emotion and mood, computer-mediated communication, organizations and mental health. Essential reading for any serious scholar of group behavior. Now available in full text online via xreferplus, the award-winning reference library on the web from xrefer. For more information, visit www.xreferplus.com",2008-04-15,NA
31,The Story of Psychology,['Morton Hunt'],"Socrates, Plato, Descartes, Spinoza, Mesmer, William James, Pavlov, Freud, Piaget, Erikson, and Skinner. Each of these thinkers recognized that human beings could examine, comprehend, and eventually guide or influence their own thought processes, emotions, and resulting behavior. The lives and accomplishments of these pillars of psychology, expertly assembled by Morton Hunt, are set against the times in which the subjects lived. Hunt skillfully presents dramatic and lucid accounts of the techniques and validity of centuries of psychological research, and of the methods and effectiveness of major forms of psychotherapy. Fully revised, and incorporating the dramatic developments of the last fifteen years, The Story of Psychology is a graceful and absorbing chronicle of one of the great human inquiries—the search for the true causes of our behavior.",2009-09-16,NA
32,Psychology and Work Today,"['Duane Schultz', 'Sydney Ellen Schultz']","For undergraduate-level courses in Industrial and Organizational Psychology, Business Psychology, Personnel Psychology and Applied Psychology. Psychology and Work Today provides an invaluable foundation for anyone entering today's global business and industrial world. This informative, sophisticated, and entertaining text teaches students about the nature of work in modern society. By focusing on the practical and applied rather than the scientific ideal, the authors demonstrate how industrial-organizational psychology directly impacts our lives as job applicants, trainees, employees, managers, and consumers.",2015-09-04,NA
33,The Psychology of Criminal Conduct,"['D.A. Andrews', 'James Bonta']","The authors bring the ""person"" back into criminology by focusing on understanding individual differences in criminal conduct and recognizing the importance of personal, interpersonal, and community factors. What results is a truly interdisciplinary general personality and social psychology of criminal behavior that is open to a wide variety of factors that relate to individual differences — a perspective with both theoretical and practical significance in North America and Great Britain. The book is now organized into four parts: (1) The Theoretical Context and Knowledge Base to the Psychology of Criminal Conduct, (2) The Major Risk/Need Factors of Criminal Conduct, (3) Applications, and (4) Summary and Conclusions. Chapters include helpful Resource Notes that explain important concepts. A selection of technical notes, separated from the general text, allows the advanced student to explore complex research without distracting readers from the main points. Resource notes throughout explain important concepts. Technical notes at the back of the book allow the advanced student to explore complex research without distracting readers from the main points. An acronym index is also provided.",2010-05-26,NA
34,Man S Search For Meaning,['Viktor Emil Frankl'],NA,2003,NA
35,Psychology Of Learning And Development,['A.R. Rather'],"Contents: Meaning, Nature and Scope of Psychology, Psychology: Various Methods, Development and Growth, Mental or Cognitive Development, Emotional Development, Physical Development and Growth, Social Development, Meaning, Nature and Functions of Educational Psychology, Concept and Nature of Learning, Learning: Various Theories, Influencing Factors, Tactics of Motivation, Development Task at Childhood Stage, Adolescents Problems, Nature and Development of Personality, Nature and Theories of Intelligence.",2010,NA
36,Laboratory Instrumentation in Psychology,['William Washburn Grings'],"""The following manual represents a selection from the teaching materials which the writer has used for a number of years in a one-semester course on laboratory apparatus and technique. The level at which the book proceeds can be indicated in terms of the persons for whom it is primarily intended and the general background or prerequisites which it assumes. The material is intended to be an introduction to the laboratory directed at graduate students or professional people who desire enough detail to get started into an area of research. Where space permits, references to more advanced sources are cited to provide a basis for following through to a higher level. Information will seldom be complete at the level of the research specialist, although occasionally he may find new material or circuits""--(PsycINFO Database Record (c) 2007 APA, all rights reserved).",1954,NA
37,The Psychology of Personality,['Bernardo J. Carducci'],"This engaging, comprehensive introduction to the field of personality psychology integrates discussion of personality theories, research, assessment techniques, and applications of specific theories. The Psychology of Personality introduces students to many important figures in the field and covers both classic and contemporary issues and research. The second edition reflects significant changes in the field but retains many of the special features that made it a textbook from which instructors found easy to teach and students found easy to learn. Bernardo Carducci’s passion for the study of personality is evident on every page.",2009-03-09,NA
38,The Psychology of Fear and Stress,['Jeffrey Alan Gray'],"How do human emotions arise, what functions do they serve, what is their evolutionary background, how do they relate to behaviour and the brain? These questions are put, and answered, in relation to the emotion of fear in this, the second edition of professor Gray's extremely well known book, first published in 1971. In this edition, the text has been extensively modified and brought up-to-date, but the book maintains the style and general argument of the first edition. The author's approach in this book is from a biological standpoint; he emphasises the evidence that has accumulated from experiments by psychologists, ethologists, physiologists and endocrinologists. Although a lot of this evidence has been obtained from animal studies, it throws light on the psychology and physiology of fear in Man. Differences between individuals in their susceptibility to fear are treated with as much attention as the common factors are.",1987,NA
39,Yes!,"['Noah J. Goldstein', 'Steve J. Martin', 'Robert Cialdini']","Learn how small changes can make a big difference in your powers of persuasion with this New York Times bestselling introduction to fifty scientifically proven techniques for increasing your persuasive powers in business and life. Every day we face the challenge of persuading others to do what we want. But what makes people say yes to our requests? Persuasion is not only an art, it is also a science, and researchers who study it have uncovered a series of hidden rules for moving people in your direction. Based on more than sixty years of research into the psychology of persuasion, Yes! reveals fifty simple but remarkably effective strategies that will make you much more persuasive at work and in your personal life, too. Cowritten by the world’s most quoted expert on influence, Professor Robert Cialdini, Yes! presents dozens of surprising discoveries from the science of persuasion in short, enjoyable, and insightful chapters that you can apply immediately to become a more effective persuader. Often counterintuitive, the findings presented in Yes! will steer you away from common pitfalls while empowering you with little known but proven wisdom. Whether you are in advertising, marketing, management, on sales, or just curious about how to be more influential in everyday life, Yes! shows how making small, scientifically proven changes to your approach can have a dramatic effect on your persuasive powers.",2008-09-03,NA
0,Handbook of the Psychology of Aging,"['James E. Birren', 'K Warner Schaie', 'Ronald P. Abeles', 'Margaret Gatz', 'Timothy A. Salthouse']","The Handbook of the Psychology of Aging, Sixth Edition provides a definitive reference source for information on the psychology of adult development and aging. It provides comprehensive reviews of research on biological and social influences on behavior and age-related changes in psychological function. The Sixth Edition contains several new chapters on concepts, theory, and methods in the psychology of aging as well as new chapters on behavioral neuroscience, stress, minority aging, autobiographical memory, sexual behavior, and religion and aging. Chapters on classic subjects continued from earlier editions have been written by all new contributors, making the Sixth Edition virtually 100% new material. The Handbook is an essential reference for researchers in adult development and gerontology and suitable as an advanced textbook for courses on the psychology of aging. The Handbook of the Psycology of Aging, Sixth Edition is part of the Handbooks on Aging series, including Handbook of the Biology of Aging and Handbook of Aging and the Social Sciences, also in their 6th editions.",2006,NA
1,A Brief History of Psychology,['Michael Wertheimer'],"This brief, inexpensive text offers the utmost in flexibility in teaching the history of psychology. Used as a stand-alone text or with readers, this engaging book is noted for its analysis of the scientific and philosophical emergence of the field. Readers appreciate the bookâe(tm)s balanced coverage of experimental, applied, and clinical psychology, as well as the clear and succinct presentation of the fieldâe(tm)s major events and schools of thought. This edition features an expanded pedagogical program with bolded terms, a complete glossary, more illustrations, and web-based instructional materials including Power Points, a test bank, discussion questions, and more. Extensively updated throughout, this edition features: A new final chapter with a current analysis of the state of the field including the growth of specialized organizations that promote the science of psychology and the push to influence policies that address global challenges such as environmental sustainability, intergroup conflict, health disparities, and the population explosion. A discussion of the growth in the number and role of women in psychology and the promotion of diversity initiatives related to ethnicity, gender, age, and sexual orientation. Recent developments in the growth of neuroscience, cognitive science, and the diversification of psychology. Portraits of some major figures in the history of psychology. Recent changes in the practice of psychology including more emphasis on ""evidence-based practice,"" prescription privileges, and the application of psychological principles to industrial and engineering psychology. Recent changes in the APA including new divisions and new elected officials. Used independently or as a supplement with readers, this brief text is intended for undergraduate and graduate courses on the history of psychology. Due to its brevity and engaging style, the book is often used in introductory courses to introduce students to the field. The enormous index and substantial glossary make this volume a useful desk reference for the entire field.",2011,NA
2,Social Psychology,['Baron'],"With chapter reviews, profiles of classic research studies, real-life examples and connections tables to link each chapter to the field as a whole, this book provides an introduction to the fundamentals of social psychology.",2009-09,NA
3,STATISTICS FOR PSYCHOLOGY,['VERMA'],"This new textbook on Statistics has been developed for the students of Psychology at the college and university level, strictly adhering to the syllabi guidelines recommended by UGC. The examples and exercises have been extracted mostly from psychological research. Apart from students of Psychology, this comprehensive text will also cater to the students from other areas of Social Sciences and other applied areas like Management, Sociology, Education, Home-Science, Nutrition etc.",NA,NA
4,The Social Consequences of Modern Psychology,['Hans JÃ¼rgen Eysenck'],"In The Social Consequences of Modern Psychology Eysenck takes the position that social science has real substance, and its findings ought to be applicable to social problems of our times. Although there is little that scientists can do about war and its prevention, or about social unrest and upheaval, or about strikes and other confrontations, there are a number of questions to which we can give tentative answers. This book deals with some of these questions, and finds some of the answers. Eysenck begins with a look at a paradox of modern psychology. Experimental psychologists use strictly scientific methods to investigate what to many people seem trivial and sterile problems, yet some social psychologists, psychiatrists and psychoanalysts investigate what are clearly important and socially relevant problems, but use methods and theories whose scientific rigor is doubtful at best. This paradox is artificial and unnecessary. Methods of investigation and theories and concepts enable us to combine worthwhile problems and rigorous methods. The book takes a long look at a particular problem which Eysenck investigated in depth during his illustrious lifetime. This tour de force, by one of the magisterial figures of modern psychology, is written for people as well as about people. It is not a rehash of the voluminous writings of lawyers, poets, politicians, dramatists, historians, psychiatrists and others who have felt compelled to write about these psychological matters without even a smattering of psychological knowledge. It is, instead, based on empirical investigations that are too often declared to be nonexistent by publicists and politicos. Hans J. Eysenck (1916-1997) was professor of psychology at the University of London and the director of its psychological department at the Institute of Psychiatry. He was best known for his experimental researches in the field of personality. Among his many books are Rebel with a Cause, Dimensions of Personality, The Dynamics of Anxiety and Hysteria, Intelligence, and Decline and Fall of the Freudian Empire, all published by Transaction. Sybil B. G. Eysenck, wife of the late author, is co-director of Personality Investigations, Publications and Services (PIPS), an organization devoted to the promotion of the writings and research of Hans J. Eysenck. She is the coauthor, with Hans Eysenck, of Psychoticism as a Dimension of Personality and Personality Structure and Measurement and the co-editor, with Donald Saklofske, of Individual Differences in Children and Adolescents, published by Transaction.",NA,NA
5,SOCIAL PSYCHOLOGY,['ARUN KUMAR SINGH'],"This comprehensive book is an earnest endeavour to acquaint the reader with a thorough understanding of all important basic concepts, methods and facts of social psychology. The exhaustive treatment of the topics, in a cogent manner, enables the students to grasp the subject in an easy-to-understand manner. Logically organised into 17 chapters, the book commences with the introduction of social psychology, research methods, theoretical foundations, self and identity, social cognitions, perception and attribution, socialisation, social attitude and persuasion, and goes on to provide in-depth coverage of stereotyping, prejudices and discrimination, behaviours in groups, social norms and conformity behaviour, leadership and social power, interpersonal attraction and relationship, social influence, aggression, prosocial behaviour, language and communication, along with applications of social psychology. The theme of the book incorporates latest concepts and researches, especially Indian researches and findings, thus making the book more understandable and applicable in Indian context. Written in an engaging style, the book is intended for the undergraduate and postgraduate students of social psychology and sociology/social works. Highlights of the Book • The text encompasses adequate content of the subject required at the university level as well as for UGC/JRF examination. • Every chapter begins with learning objectives, followed by key terms and ends with summary and review questions. • The text emphasises clarity (avoids technical language) to enhance its effectiveness. • Objective-type questions given at the end of the book test the students’ understanding of the concepts • Glossary is provided at the end of the book to provide reference and at-a-glance understanding.",2015-05-01,NA
6,The American Journal of Forensic Psychology,NA,NA,2000,NA
7,Health Psychology,"['Charles Abraham', 'Mark Conner', 'Fiona Jones', ""Daryl O'Connor""]","The new edition of Health Psychology is the perfect introduction to this rapidly developing field. Throughout the book, the psychological processes that shape health-related behaviours, and affect core functions such as the immune and cardiovascular systems, are clearly explained. These relationships provide the foundation for psychological interventions which can change cognition, perception and behaviour, thereby improving health. The book is split into five sections, and builds to provide a comprehensive overview of the field: the biological basis of health and illness stress and health coping resources: social support and individual differences motivation and behaviour relating to patients Extensively revised to include new material on behavioural change, the role of stress, resilience and social support, recovery from work, and the care of people with chronic disease, the book also includes a range of features which highlight key issues, and engage readers in applying what we have learned from research. This is essential reading for any undergraduates studying this exciting field for the first time, and the perfect primer for those embarking on postgraduate study.",2016-04-14,NA
8,Remembering,"['Sir Frederic Charles Bartlett', 'Frederic C. Bartlett', 'Frederic Charles Bartlett']",This is a timely reissue of this influential 1932 study of remembering.,1995-06-30,NA
9,Theoretical Approaches in Psychology,['Matt Jarvis'],"Psychologists use a range of principles and theories, all of which view the person and the study of the person in very different ways. Theoretical Approaches in Psychology introduces and outlines the six main approaches and considers how each has helped psychologists understand human behaviour, thought and feeling. The Routledge Modular Psychology series is a completely new approach to introductory level psychology, tailor-made for the new modular style of teaching. Each book covers a topic in more detail than any large textbook can, allowing teacher and student to select material exactly to suit any particular course or project. Especially written for those students new to higher-level study, whether at school, college or university, the books include the following designed features to help with technique: Practice essays with specialist commentary to show how to achieve a higher grade Chapter summaries and summaries of key research Glossary and further reading Progress and review exercises.",2005-08-04,NA
10,The Handbook of Jungian Psychology,['Renos K. Papadopoulos'],"The field of Jungian psychology has been growing steadily over the last twenty years and awareness is increasing of its relevance to the predicaments of modern life. Jung appeals not only to professionals who are looking for a more humane and creative way of working with their clients, but also to academics in an increasingly wide range of disciplines. This Handbook is unique in presenting a clear, comprehensive and systematic exposition of the central tenets of Jung's work which has something to offer to both specialists and those seeking an introduction to the subject. Internationally recognised experts in Jungian Psychology cover the central themes in three sections: Theory, Psychotherapy & Applications. Each chapter begins with an introduction locating the topic in the context of Jung's work as a whole, before moving on to an investigation of contemporary developments and concluding by demonstrating how Jung's theories continue to evolve and develop through their practical therapeutic applications. The Handbook of Jungian Psychology is the definitive source of authoritative information on Jungian psychology for Jungian analysts, psychotherapists, counsellors and related professionals. It will be an invaluable aid to those involved in Jungian academic studies and related disciplines.",2006,NA
11,Oxford Handbook of Internet Psychology,['Adam Joinson'],"Over one billion people use the Internet globally. Psychologists are beginning to understand what people do online, and the impact being online has on behaviour. It's making us re-think many of our existing assumptions about what it means to be a social being. For instance, if we can talk, flirt, meet people and fall in love online, this challenges many of psychology's theories that intimacy or understanding requires physical co-presence.""The Oxford Handbook of Internet Psychology"" brings together many of the leading researchers in what can be termed 'Internet Psychology'. Though a very new area of research, it is growing at a phenomenal pace. In addition to well-studied areas of investigation, such as social identity theory, computer-mediated communication and virtual communities, the volume also includes chapters on topics as diverse as deception and misrepresentation, attitude change and persuasion online, Internetaddiction, online relationships, privacy and trust, health and leisure use of the Internet, and the nature of interactivity.With over 30 chapters written by experts in the field, the range and depth of coverage is unequalled, and serves to define this emerging area of research. Uniquely, this content is supported by an entire section covering the use of the Internet as a research tool, including qualitative and quantitative methods, online survey design, personality testing, ethics, and technological and design issues. While it is likely to be a popular research resource to be 'dipped into', as a whole volume it iscoherent and compelling enough to act as a single text book.""The Oxford Handbook of Internet Psychology"" is the definitive text on this burgeoning field. It will be an essential resource for anyone interested in the psychological aspects of Internet use, or planning to conduct research using the 'net'.",2007-04-12,NA
12,The Handbook of Psychological Testing,['Paul Kline'],"This Handbook has become the standard text for both organisational and educational psychologists. It offers the only modern and clear account of psychometrics in its field. For this second edition, the Handbook has been extensively revised",2000,NA
13,Practical Psychology,['Daniel Augustus Simmons'],"This work has been selected by scholars as being culturally important and is part of the knowledge base of civilization as we know it. This work is in the public domain in the United States of America, and possibly other nations. Within the United States, you may freely copy and distribute this work, as no entity (individual or corporate) has a copyright on the body of the work. Scholars believe, and we concur, that this work is important enough to be preserved, reproduced, and made generally available to the public. To ensure a quality reading experience, this work has been proofread and republished using a format that seamlessly blends the original graphical elements with text in an easy-to-read typeface. We appreciate your support of the preservation process, and thank you for being an important part of keeping this knowledge alive and relevant.",2018-11-10,NA
14,Psychology of Music,['Carl Emil Seashore'],"Between the physical world of vibration and the world of consciously heard music lies a third area, which is the province of the psychology of music. This introduction, first published in 1938, by the developer of the Seashore test of musical ability, is a thorough survey of this field. A standard text for psychologists specializing in the area, teachers, or interested musicologists.",1967-01-01,NA
15,The Psychology Book,['Catherine Collin (Clinical psychologist)'],"Written in plain English, The Psychology Book is packed with pithy explanations that cut through the jargon, diagrams that untangle knotty theories, memorable quotes, and witty illustrations that play with our perceptions and beliefs. Whether you're completely new to psychology, fully engaged as a student, or an armchair expert, you'll find plenty to intrigue and stimulate you inside this book.",2015,NA
16,Language Learning,['Christine Howe'],An in-depth study of the credibility of the notion that children cannot learn their native language without innate knowledge of its grammatical structure. It aspires to a serious challenge to the innateness hypothesis.,1993,NA
17,The Complete Companions: A2 Student Book for WJEC Psychology,"['Cara Flanagan', 'Julia Russell']",The Complete Companion for WJEC A2 Student Book follows the same format of the best-selling AQA 'A' textbook but is tailored precisely to meet the needs of the WJEC A2 specification and exam. It provides a host of fantastic features to underpin the delivery of the course.,2011-02-10,NA
18,A Text-book of Experimental Psychology,['Charles Samuel Myers'],NA,1931,NA
19,Developmental Psychology,['E. B. Hurlock'],NA,2001-08-01,NA
20,What is Psychology?,"['Ellen Pastorino', 'Susann Doyle-Portillo']","By focusing on material most relevant to the Introductory Psychology course while maintaining the narrative flow, authors Ellen Pastorino and Susann Doyle-Portillo invite students to see the big picture of psychology as opposed to a collection of fragmented ideas. With an unparalleled integration of diversity, applications, and critical thinking, WHAT IS PSYCHOLOGY? captures and holds students' interest using The Big Picture, a real life story of a person whose experience illustrates the concepts of the chapter. Upon entering this course, today's students ask Why should Psychology matter to me? Drawing from their own research and first-hand work in classrooms on assessment, inclusion, and reaching under-prepared students, Pastorino and Doyle-Portillo answer this question using practical everyday examples focused on the student (e.g., asking students to design a research study based on the hypothesis that listening to rock and roll facilitates studying). Important Notice: Media content referenced within the product description or the product text may not be available in the ebook version.",2005-07-11,NA
21,Positive Psychology,"['Baumgardner Steve', 'Crothers Marie']","Positive Psychology address important questions about how we lead our lives, find happiness and satisfaction, and face life's challenges. As a new and emerging area in the discipline, the subject matter of positive psychology holds intrinsic value for readers as it reflects upon a new 'psychology of well-being' and the means to achieve it. This book aims to make new researches and developments in positive psychology accessible to students and instructors, and to bridge the gap between an undergraduate audience and the professional level of source material. The authors hope to engage and maintain interest by making frequent connections and applications of the subject matter to the everyday lives of readers.",NA,NA
22,Health Psychology,['Shelley Taylor'],"Since the first edition was published in 1986, this textbook has helped thousands of college students learn how to maintain their health and guard against illness. The goal of the book has always been to make research accessible in a way that integrates theory with practical applications so that people can lead healthier lives. The importance of social relationships, health behaviors, and co-management of health and illness are themes that are woven throughout the text.",2014-02-21,NA
23,AQA A-level Psychology Book 2,"['Jean-Marc Lawton', 'Eleanor Willard']","Exam Board: AQA Level: AS/A-level Subject: Psychology First Teaching: September 2015 First Exam: June 2017 AQA Approved 'Clear, well laid out and student friendly and I'm confident my students will be well prepared. The real life examples and practise questions are much appreciated'. Ian Thomson, Larne Grammar School. Equip your students with the knowledge and the skills that they need for the new AQA Psychology A-level, with guidance on assessment objectives, clear, comprehensive coverage and activities that consolidate understanding, develop key skills and ensure progression. - Thoroughly engage your students with Psychology at A-level through extensive real-life contemporary research - Ensure students learn and understand content for all the key topics with the clear, accessible style from Jean-Marc Lawton and Eleanor Willard - Helps your students understand the assessment objectives and develop their examination skills with assessment guidance and checks throughout and practice questions - Ensures progression and encourages independent thinking with extension suggestions and activities",2015-07-31,NA
24,Psychology,['David G. Myers'],"This sixth edition of David G. Myers' Psychology includes new chapters on the nature and nurture of behaviour and references to statistical methods, streamlined development coverage and more.",2001,NA
25,INDUSTRIAL PSYCHOLOGY,['SINGH'],"Industrial Psychology is an introductory text which has been written primarily for undergraduate students. It discusses Psychology in general and Industrial Psychology in particular, tracing its development, theories, concepts, methodology and historical background effectively.",NA,NA
26,Social Psychology,"['Robert A. Baron', 'Donn Erwin Byrne', 'Nyla R. Branscombe']","The 11th edition of 'Social Psychology' builds on a tradition of excellence that has set the mark for others to follow. Impeccable research, comprehensive coverage and superb writing are the hallmarks of Baron, Byrne & Branscombe's 'Social Psychology'.",2006,NA
27,Simply Psychology,['Michael W. Eysenck'],"This textbook provides a comprehensive account of psychology for all those with little or no previous knowledge of the subject. It covers the main areas of psychology, including social psychology, developmental psychology, cognitive psychology, personality, intelligence, and biological psychology.; Each chapter contains definitions of key terms, together with several multiple-choice questions and answers, and semi- structured essay questions. In addition, every chapter contains a ""Personal Viewpoint"" section, which encourages the reader to compare his or her views on psychology with the relevant findings of psychologists. The last chapter is devoted to study skills, and provides numerous practical hints for readers who want to study more effectively.",1996,NA
28,New Zealand Journal of Psychology,NA,NA,1992,NA
29,Psychology A2,"['Mike Cardwell', 'Cara Flanagan']","The unique approach of this book is that it provides comprehensive coverage of only the most popular areas of the AQA A A2 specification: relationships, pro- and anti-social behaviour, biological rhythms, cognitive development, social and personality development, evolutionary explanationsof human behaviour, psychopathology, treating mental disorders, plus issues, debates and approaches. This core textbook offers students the opportunity to improve their grades and have their very own expert to take home the friendly examiner - The Complete Companion!",2003-09,NA
30,Atomic Habits,['James Clear'],"The #1 New York Times bestseller. Over 1 million copies sold! Tiny Changes, Remarkable Results No matter your goals, Atomic Habits offers a proven framework for improving--every day. James Clear, one of the world's leading experts on habit formation, reveals practical strategies that will teach you exactly how to form good habits, break bad ones, and master the tiny behaviors that lead to remarkable results. If you're having trouble changing your habits, the problem isn't you. The problem is your system. Bad habits repeat themselves again and again not because you don't want to change, but because you have the wrong system for change. You do not rise to the level of your goals. You fall to the level of your systems. Here, you'll get a proven system that can take you to new heights. Clear is known for his ability to distill complex topics into simple behaviors that can be easily applied to daily life and work. Here, he draws on the most proven ideas from biology, psychology, and neuroscience to create an easy-to-understand guide for making good habits inevitable and bad habits impossible. Along the way, readers will be inspired and entertained with true stories from Olympic gold medalists, award-winning artists, business leaders, life-saving physicians, and star comedians who have used the science of small habits to master their craft and vault to the top of their field. Learn how to: • make time for new habits (even when life gets crazy); • overcome a lack of motivation and willpower; • design your environment to make success easier; • get back on track when you fall off course; ...and much more. Atomic Habits will reshape the way you think about progress and success, and give you the tools and strategies you need to transform your habits--whether you are a team looking to win a championship, an organization hoping to redefine an industry, or simply an individual who wishes to quit smoking, lose weight, reduce stress, or achieve any other goal.",2018-10-16,NA
31,Cognitive Psychology,"['Robert J. Sternberg', 'Karin Sternberg']","With an accessible, easy-to-understand writing style, COGNITIVE PSYCHOLOGY, Sixth Edition will give you the tools you need to be successful in the course! This book covers cognitive neuroscience, attention and consciousness, perception, memory, knowledge, representation, language, problem solving and creativity, decision making and reasoning, cognitive development, and intelligence. A review of key themes at the end of every chapter will help you spend more time studying important information and less time trying to figure out what you need to know. The author provides a ""from lab to life"" approach that covers theory, lab and field research, and applications to everyday life.",2011,NA
32,Complete Companions for AQA A Level Psychology 5th Edition:,"['MIKE. FLANAGAN CARDWELL (CARA.)', 'Cara Flanagan']","The Complete Companion for AQA A Level Year 1 and AS 5th Edition delivers outstanding up-to-date study, revision and exam support. Written by Mike Cardwell and Cara Flanagan, this student book helps turn understanding of psychology into even better exam performance, with thorough and exceptionally clear coverage of the specifications.",2018-08-31,NA
